Date,Close,Open,High,Low
1380585600,123.65499,124.30466,124.75166,122.56349
1380672000,125.455,123.65499,125.7585,123.63383
1380758400,108.58483,125.455,125.66566,83.32833
1380844800,118.67466,108.58483,118.675,107.05816
1380931200,121.33866,118.67466,121.93633,118.00566
1381017600,120.65533,121.33866,121.85216,120.5545
1381104000,121.795,120.65533,121.99166,120.43199
1381190400,123.033,121.795,123.64016,121.35066
1381276800,124.049,123.033,124.7835,122.59266
1381363200,125.96116,124.049,128.01683,123.81966
1381449600,125.27966,125.96116,126.43666,124.11383
1381536000,125.9275,125.27966,126.0365,123.12966
1381622400,126.38333,125.9275,126.8965,125.2765
1381708800,135.24199,126.38333,135.24199,126.255
1381795200,133.20333,135.24199,135.69216,130.39275
1381881600,142.76333,133.20333,143.60483,132.94933
1381968000,137.92333,142.76333,145.601,136.01466
1382054400,142.95166,137.92333,144.311,137.53966
1382140800,152.55183,142.95166,152.6685,142.47949
1382227200,160.33883,152.55183,167.07999,152.5135
1382313600,164.31499,160.33883,164.3315,159.89666
1382400000,177.63333,164.31499,177.71166,163.87149
1382486400,188.29716,177.63333,188.82383,177.11399
1382572800,200.70166,188.29716,202.34333,185.81683
1382659200,180.355,200.70166,201.33316,158.72216
1382745600,175.03166,180.355,184.09033,162.56466
1382832000,177.6965,175.03166,180.3185,174.74483
1382918400,187.15983,177.6965,188.3985,174.9035
1383004800,192.75666,187.15983,192.83983,185.88116
1383091200,197.4,192.75666,198.41366,191.62716
1383177600,196.02499,197.4,198.79333,192.83366
1383264000,198.04883,196.02499,198.57,195.02916
1383350400,198.93233,198.04883,199.09783,195.49
1383436800,200.543,198.93233,201.24116,198.71016
1383523200,210.3075,200.543,211.17133,200.296
1383609600,225.02,210.3075,227.02833,209.23333
1383696000,248.25333,225.02,248.32116,221.84833
1383782400,262.32666,248.25333,262.67166,242.95166
1383868800,294.48699,262.32666,294.48749,260.45166
1383955200,331.10325,294.48699,343.67975,293.48749
1384041600,285.8875,331.10325,355.2275,277.25275
1384128000,304.97974,285.8875,323.27249,260.70325
1384214400,338.137,304.97974,339.795,303.6505
1384300800,357.48,338.137,358.94999,336.30775
1384387200,402.954,357.48,409.51,350.20999
1384473600,409.10375,402.954,415.93975,383.5775
1384560000,420.21649,409.10375,427.90425,386.565
1384646400,437.29725,420.21649,437.9695,415.1975
1384732800,510.6025,437.29725,512.16999,436.13324
1384819200,693.65,510.6025,781.82624,491.585
1384905600,531.54249,693.65,716.825,394.90624
1384992000,574.71599,531.54249,580.11375,428.9815
1385078400,681.33,574.71599,705.49725,570.78025
1385164800,774.18,681.33,775.6525,651.89599
1385251200,746.19374,774.18,823.41525,691.6925
1385337600,768.8475,746.19374,787.2475,707.75149
1385424000,789.36475,768.8475,793.71424,739.8375
1385510400,893.1815,789.36475,904.585,787.19
1385596800,934.355,893.1815,965.2525,870.38525
1385683200,1068.363,934.355,1084.9466,912.931
1385769600,1154.92593,1068.363,1157.49894,1028.22683
1385856000,1099.51926,1154.92593,1156.02831,1099.2065
1385942400,1019.78966,1099.51926,1099.70754,783.68616
1386028800,1028.845,1019.78966,1049.67916,929.95483
1386115200,1071.2848,1028.845,1092.83331,1021.177
1386201600,1139.33083,1071.2848,1151.29749,1066.87277
1386288000,1004.61633,1139.33083,1144.36916,870.3838
1386374400,759.43041,1004.61633,1038.55,656.87499
1386460800,689.81,759.43041,826.32766,558.08333
1386547200,841.83966,689.81,845.85092,682.71342
1386633600,916.77599,841.83966,948.68183,809.91748
